CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,stream
100.0,2200.0,1.77,47338.0,20040.0,4259.7,0.6,849604.0,847132.0,25.0,1
100.0,2199.865,1.62,42035.0,12760.0,3813.1,0.6,849316.0,847140.0,25.0,1
93.3,2200.0,1.6,42203.0,18320.0,3799.3,0.6,849316.0,847140.0,25.0,1
100.0,2199.865,0.24,755.0,7680.0,100.6,0.5,1026048.0,672688.0,25.0,1
93.8,2200.0,0.81,2356.0,7560.0,324.2,0.5,1026048.0,672688.0,25.0,1
100.0,2200.0,0.27,873.0,6920.0,115.1,0.5,1026048.0,672688.0,25.0,1
100.0,2199.865,1.71,72.0,5440.0,8.8,0.0,18508.0,13180.0,25.0,0
100.0,2199.865,1.71,116.0,6280.0,14.6,0.0,18508.0,13180.0,25.0,0
100.0,2199.865,1.69,76.0,4920.0,9.6,0.0,18508.0,13180.0,25.0,0
100.0,2200.0,1.71,70.0,5760.0,8.4,0.0,18508.0,13180.0,25.0,0
100.0,2200.0,1.7,107.0,6680.0,11.6,0.0,18508.0,13180.0,25.0,0
100.0,2199.865,2.53,36.0,2480.0,2.4,0.0,32968.0,26632.0,25.0,0
100.0,2200.0,2.53,42.0,1160.0,3.0,0.0,33492.0,27392.0,25.0,0
100.0,2200.0,1.98,6.0,2080.0,0.5,0.0,10876.0,5776.0,25.0,0
100.0,2200.0,1.9,470.0,13960.0,126.0,0.0,18740.0,6120.0,25.0,0
100.0,2199.865,1.5,19.0,6440.0,11.2,0.0,10984.0,6652.0,25.0,0
100.0,2200.0,1.49,10.0,1480.0,0.9,0.0,14684.0,6748.0,25.0,0
100.0,2199.865,1.24,21.0,5280.0,7.4,0.0,14524.0,7092.0,25.0,0
100.0,2199.865,2.12,4748.0,1600.0,548.2,0.0,60992.0,58420.0,1.25,0
100.0,2200.0,0.49,24626.0,40.0,2012.7,0.1,104084.0,101656.0,1.25,0
100.0,2199.865,0.5,25439.0,320.0,2082.2,0.1,104564.0,102172.0,1.25,0
100.0,2199.865,0.51,25343.0,280.0,2042.9,0.1,104564.0,102172.0,1.25,0
100.0,2199.865,0.69,36225.0,680.0,4377.9,0.1,112212.0,89988.0,1.25,0
100.0,2199.865,2.51,248.0,80.0,5.2,0.0,32968.0,26844.0,2.5,0
100.0,2200.0,1.74,10732.0,3840.0,1112.6,0.4,525116.0,504480.0,20.0,1
100.0,2200.0,1.44,4055.0,4200.0,305.4,0.4,525116.0,504480.0,20.0,1
93.8,2200.0,1.6,3773.0,320.0,378.2,0.0,18508.0,13176.0,2.5,0
100.0,2199.865,0.96,2939.0,12840.0,202.9,0.0,35572.0,17212.0,18.75,1
100.0,2199.865,0.89,14935.0,13000.0,1027.5,0.4,598328.0,591688.0,18.75,1
100.0,2199.865,0.72,22714.0,2000.0,1734.6,0.1,104088.0,101660.0,5.0,0
100.0,2200.0,1.61,2834.0,1560.0,210.4,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,0.83,33045.0,15200.0,5693.6,0.2,332708.0,325832.0,16.25,1
100.0,2200.0,0.77,44016.0,13560.0,3253.4,0.2,317080.0,310440.0,16.25,1
100.0,2199.865,1.49,44371.0,1320.0,4553.3,0.4,571404.0,550796.0,16.25,1
100.0,2200.0,0.89,6755.0,10040.0,336.3,0.0,35572.0,17212.0,15.0,1
100.0,2199.865,2.86,8378.0,1400.0,1239.0,0.1,121244.0,117288.0,2.5,0
93.8,2199.865,1.68,1672.0,2320.0,235.3,0.0,18508.0,13180.0,2.5,0
100.0,2199.865,0.72,20795.0,11640.0,1256.0,0.2,332312.0,216240.0,13.75,1
100.0,2199.865,1.57,3785.0,360.0,300.4,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.74,89081.0,1120.0,6145.2,0.4,571404.0,550796.0,12.5,1
100.0,2199.865,2.49,196.0,120.0,8.9,0.0,32968.0,26584.0,2.5,0
100.0,2200.0,1.67,1769.0,2080.0,805.2,0.0,18508.0,13180.0,2.5,0
100.0,2200.0,0.97,8022.0,9480.0,551.4,0.0,35572.0,17212.0,11.25,1
100.0,2200.0,2.47,531.0,2200.0,72.3,0.1,97176.0,94584.0,12.5,0
100.0,2200.0,0.86,18451.0,4200.0,1472.8,0.1,104084.0,101656.0,12.5,0
93.3,2199.865,1.25,6920.0,6240.0,1217.9,0.1,109620.0,87008.0,12.5,0
100.0,2200.0,0.78,15041.0,8120.0,1117.2,0.0,35572.0,17212.0,10.0,1
100.0,2199.865,1.13,24001.0,8120.0,2097.0,0.1,111460.0,89852.0,13.75,0
100.0,2200.0,1.7,4285.0,120.0,456.7,0.0,32968.0,26944.0,2.5,0
100.0,2200.0,2.52,210.0,40.0,8.3,0.0,32920.0,26988.0,2.5,0
100.0,2200.0,1.64,1761.0,1280.0,123.3,0.0,18508.0,13176.0,2.5,0
100.0,2199.865,1.1,19938.0,7480.0,2139.3,0.4,490716.0,469648.0,8.75,1
100.0,2200.0,0.85,18315.0,4840.0,1514.8,0.1,104088.0,101656.0,15.0,0
100.0,2200.0,0.77,16865.0,5640.0,1213.6,0.0,35572.0,17212.0,7.5,1
100.0,2199.865,1.34,8039.0,1520.0,612.9,0.4,540608.0,517800.0,7.5,1
100.0,2200.0,1.11,15923.0,7720.0,1743.3,0.1,111580.0,89748.0,16.25,0
100.0,2199.865,0.9,11090.0,2080.0,700.7,0.0,35572.0,17212.0,6.25,1
100.0,2200.0,1.68,1904.0,2240.0,256.8,0.0,18508.0,13180.0,2.5,0
100.0,2199.865,2.5,204.0,120.0,19.1,0.0,32920.0,27080.0,2.5,0
100.0,2199.865,1.19,12074.0,11920.0,1326.6,0.1,113236.0,88460.0,20.0,0
100.0,2200.0,0.7,24325.0,1880.0,1791.1,0.0,35572.0,17208.0,2.5,1
100.0,2200.0,0.51,99881.0,2240.0,10868.9,0.2,332576.0,325832.0,2.5,1
100.0,2200.0,0.95,14909.0,7840.0,1156.2,0.1,104088.0,101656.0,21.25,0
100.0,2200.0,0.87,17014.0,6720.0,1420.9,0.1,104504.0,102192.0,21.25,0
100.0,2200.0,1.18,16187.0,11480.0,1640.5,0.1,112716.0,88396.0,21.25,0
100.0,2200.0,1.18,9528.0,10480.0,1051.8,0.1,113260.0,88460.0,21.25,0
100.0,2200.0,0.85,16403.0,2240.0,1004.5,0.0,35572.0,17212.0,1.25,1
100.0,2200.0,1.41,514.0,1040.0,140.5,0.0,5332.0,3016.0,2.5,0
93.8,2200.0,1.41,1349.0,960.0,255.0,0.0,5332.0,3016.0,2.5,0
100.0,2199.865,0.76,19136.0,360.0,1904.8,0.5,623116.0,616644.0,2.5,0
100.0,2199.865,2.76,98599.0,2040.0,9575.3,0.1,68112.0,66204.0,2.5,0
100.0,2200.0,1.62,2723.0,440.0,191.9,0.0,18508.0,13176.0,2.5,0
93.8,2200.0,1.64,2567.0,1400.0,177.9,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.41,1194.0,1520.0,197.0,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,1.76,1006.0,1600.0,109.6,0.1,181340.0,179240.0,20.0,1
100.0,2199.865,1.6,1025.0,560.0,115.0,0.1,181340.0,179240.0,20.0,1
100.0,2199.865,1.57,1362.0,3520.0,168.0,0.1,181224.0,179244.0,18.75,1
100.0,2199.865,2.33,33369.0,18200.0,2973.2,0.7,876192.0,860504.0,18.75,1
100.0,2200.0,2.25,32679.0,17800.0,2905.6,0.7,876192.0,860504.0,18.75,1
100.0,2199.865,1.63,2375.0,680.0,235.4,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.57,1375.0,2680.0,166.1,0.1,181224.0,179240.0,17.5,1
100.0,2200.0,1.59,1237.0,520.0,140.5,0.1,181336.0,179240.0,17.5,1
100.0,2200.0,0.85,16699.0,1280.0,1505.5,0.5,623116.0,616540.0,6.25,0
100.0,2199.865,2.76,97417.0,3880.0,8151.4,0.1,68112.0,66208.0,6.25,0
100.0,2200.0,2.54,3929.0,440.0,545.7,0.4,623116.0,547032.0,7.5,0
100.0,2200.0,2.75,96292.0,4640.0,10144.2,0.1,68112.0,66204.0,7.5,0
93.8,2199.865,1.63,2438.0,960.0,397.5,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.54,1337.0,920.0,161.9,0.1,181196.0,179244.0,15.0,1
100.0,2199.865,2.29,34904.0,14040.0,3245.6,0.7,876192.0,860504.0,15.0,1
100.0,2199.865,2.74,96783.0,6520.0,9198.5,0.1,68112.0,66208.0,8.75,0
100.0,2200.0,1.66,2250.0,800.0,244.4,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.54,1430.0,1480.0,168.4,0.1,181224.0,179240.0,13.75,1
93.3,2199.865,2.72,5547.0,280.0,891.9,0.4,623116.0,549540.0,10.0,0
100.0,2199.865,1.41,1130.0,720.0,198.5,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,1.62,1362.0,400.0,148.1,0.1,181340.0,179244.0,12.5,1
100.0,2200.0,2.35,36270.0,12200.0,2985.9,0.7,876192.0,860436.0,12.5,1
100.0,2199.865,1.93,25242.0,10480.0,2273.7,0.7,876192.0,860436.0,12.5,1
100.0,2200.0,1.41,1216.0,1040.0,209.5,0.0,5476.0,3188.0,2.5,0
100.0,2200.0,1.82,42231.0,10720.0,4955.9,0.7,876192.0,860436.0,11.25,1
100.0,2200.0,1.91,30279.0,6960.0,3166.4,0.7,876192.0,860436.0,11.25,1
100.0,2200.0,1.41,1217.0,1240.0,251.3,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,2.74,98300.0,12520.0,9435.5,0.1,68112.0,66204.0,15.0,0
100.0,2199.865,1.52,1421.0,680.0,157.7,0.1,181344.0,179308.0,7.5,1
