CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,sensitive
100.0,2199.865,1.41,1182.0,1400.0,232.0,0.0,5476.0,3184.0,2.5,0
100.0,2199.865,1.45,1206.0,280.0,217.5,0.4,593412.0,587352.0,15.0,1
100.0,2199.865,0.88,13264.0,1920.0,1272.9,0.5,623116.0,617076.0,15.0,1
100.0,2200.0,1.39,1142.0,1240.0,111.1,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,2.78,102652.0,11120.0,8687.0,0.1,68112.0,66204.0,16.25,1
100.0,2199.865,1.63,2437.0,880.0,226.2,0.0,18508.0,13176.0,2.5,0
100.0,2199.865,1.41,1107.0,800.0,246.8,0.0,5476.0,3184.0,2.5,0
100.0,2199.865,2.68,91648.0,17920.0,7553.0,0.1,68112.0,66208.0,20.0,1
100.0,2200.0,2.8,95593.0,17280.0,8839.6,0.1,68112.0,66208.0,20.0,1
100.0,2199.865,1.61,2887.0,1280.0,508.2,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.41,1106.0,880.0,262.6,0.0,5476.0,3184.0,2.5,0
100.0,2199.865,1.6,3463.0,520.0,339.7,0.0,18508.0,13180.0,2.5,0
93.8,2199.865,1.41,1928.0,1040.0,394.1,0.0,5476.0,3184.0,2.5,0
100.0,2199.865,2.74,97198.0,2240.0,9600.4,0.1,68112.0,66208.0,3.75,1
93.8,2200.0,2.16,5482.0,400.0,264.6,0.1,203196.0,185336.0,5.0,1
100.0,2199.865,2.01,6229.0,240.0,392.9,0.1,204340.0,187980.0,6.25,1
100.0,2200.0,2.03,8348.0,40.0,2.9,0.0,16348.0,4456.0,2.5,0
93.3,2199.865,2.18,1363.0,160.0,4.3,0.0,16348.0,4716.0,2.5,0
100.0,2200.0,2.1,5407.0,1080.0,354.5,0.1,204340.0,187976.0,10.0,1
93.8,2200.0,2.21,1712.0,480.0,45.7,0.0,16348.0,4708.0,2.5,0
100.0,2199.865,1.41,1096.0,600.0,223.5,0.0,5332.0,3012.0,2.5,0
100.0,2200.0,2.38,665.0,560.0,59.6,0.0,16348.0,4716.0,2.5,0
100.0,2199.865,2.65,94656.0,11840.0,8956.5,0.1,68112.0,66204.0,12.5,1
100.0,2200.0,1.42,710.0,1280.0,412.0,0.0,5476.0,3188.0,2.5,0
100.0,2199.865,2.76,97163.0,11640.0,9511.1,0.1,68112.0,66204.0,15.0,1
100.0,2200.0,1.42,838.0,1160.0,227.5,0.0,5476.0,3188.0,2.5,0
100.0,2200.0,2.38,3094.0,80.0,201.4,0.1,204068.0,186924.0,17.5,1
100.0,2199.865,2.65,98490.0,14360.0,9043.3,0.1,68112.0,66208.0,18.75,1
100.0,2200.0,2.52,329.0,280.0,19.8,0.0,16348.0,4460.0,2.5,0
100.0,2199.865,2.67,89671.0,15400.0,8931.2,0.1,68112.0,66208.0,20.0,1
100.0,2200.0,1.4,974.0,1480.0,166.6,0.0,5476.0,3188.0,2.5,0
100.0,2200.0,2.4,784.0,520.0,150.0,0.0,16348.0,4460.0,2.5,0
100.0,2199.865,2.66,90040.0,18400.0,8906.4,0.1,68112.0,66204.0,21.25,1
100.0,2200.0,1.19,14247.0,80.0,461.6,0.1,204068.0,186920.0,1.25,1
100.0,2199.865,1.41,1188.0,920.0,263.0,0.0,5476.0,3188.0,2.5,0
100.0,2200.0,1.24,1089.0,440.0,155.1,0.0,19880.0,8248.0,2.5,0
100.0,2200.0,0.83,53515.0,1760.0,3387.1,0.1,119252.0,114076.0,2.5,1
100.0,2199.865,1.41,1169.0,1440.0,501.3,0.0,5476.0,3188.0,2.5,0
93.8,2199.865,2.17,4986.0,600.0,343.9,0.1,203652.0,186132.0,5.0,1
100.0,2199.865,1.41,774.0,960.0,31.6,0.0,5476.0,3184.0,2.5,0
100.0,2199.865,1.3,591.0,320.0,16.1,0.0,18960.0,7708.0,2.5,0
100.0,2200.0,2.21,4479.0,1920.0,383.8,0.1,204340.0,187980.0,8.75,1
100.0,2199.865,1.42,910.0,1480.0,252.4,0.0,5476.0,3184.0,2.5,0
100.0,2199.865,1.42,917.0,1280.0,310.9,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,1.27,565.0,320.0,28.0,0.0,22376.0,10644.0,2.5,0
100.0,2199.865,1.42,825.0,840.0,92.3,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,1.42,849.0,440.0,96.0,0.0,5476.0,3184.0,2.5,0
100.0,2199.865,2.17,4276.0,560.0,286.9,0.1,204484.0,188772.0,13.75,1
100.0,2199.865,2.15,4540.0,3080.0,250.0,0.1,204200.0,187452.0,15.0,1
100.0,2200.0,1.49,20337.0,10280.0,1085.9,0.1,118936.0,113812.0,15.0,1
100.0,2199.865,2.4,2988.0,1080.0,189.4,0.1,204068.0,187188.0,17.5,1
100.0,2200.0,1.25,588.0,480.0,131.5,0.0,21116.0,9520.0,2.5,0
100.0,2199.865,1.46,943.0,4240.0,99.5,0.0,43556.0,38480.0,18.75,1
100.0,2199.865,1.83,1235.0,6000.0,84.9,0.1,102636.0,97708.0,18.75,1
100.0,2199.865,1.42,1118.0,1360.0,273.1,0.0,5332.0,3016.0,2.5,0
100.0,2200.0,1.41,739.0,1560.0,118.9,0.0,5332.0,3016.0,2.5,0
100.0,2200.0,1.41,657.0,1400.0,75.7,0.0,5476.0,3188.0,2.5,0
100.0,2199.865,1.23,908.0,120.0,10.8,0.0,20728.0,9012.0,2.5,0
100.0,2200.0,1.23,880.0,280.0,21.8,0.0,21116.0,9516.0,2.5,0
100.0,2200.0,1.46,1891.0,7960.0,139.9,0.1,141544.0,136528.0,21.25,1
100.0,2200.0,1.22,1456.0,320.0,55.9,0.0,22376.0,10644.0,2.5,0
100.0,2199.865,1.38,2426.0,120.0,151.4,0.4,593412.0,587256.0,1.25,1
100.0,2200.0,2.2,1376.0,360.0,27.4,0.0,16348.0,4704.0,2.5,0
100.0,2199.865,1.42,1843.0,400.0,157.5,0.4,593412.0,586704.0,2.5,1
93.8,2199.865,0.87,17806.0,1080.0,1609.5,0.5,623116.0,616460.0,2.5,1
100.0,2199.865,2.22,1544.0,240.0,14.9,0.0,16348.0,4712.0,2.5,0
100.0,2199.865,1.86,1125.0,1360.0,96.8,0.0,10536.0,5408.0,2.5,0
100.0,2200.0,1.92,976.0,960.0,81.0,0.0,10536.0,5408.0,2.5,0
100.0,2200.0,2.53,176.0,120.0,1.6,0.0,16348.0,4456.0,2.5,0
100.0,2199.865,0.91,15649.0,1320.0,1535.8,0.5,623116.0,617012.0,5.0,1
100.0,2199.865,0.95,13006.0,3240.0,1230.5,0.5,623116.0,617024.0,8.75,1
100.0,2200.0,0.81,20078.0,3240.0,1517.8,0.1,104568.0,102176.0,8.75,1
100.0,2200.0,2.52,418.0,200.0,13.1,0.0,16348.0,4460.0,2.5,0
100.0,2200.0,2.19,1291.0,280.0,45.7,0.0,16348.0,4712.0,2.5,0
